time,car_x,car_speed,car_acc,min_ttc,collision
3.5858585858585856,2.6250000000000027,4.900000000000011,0.0,2.0357142857142807,True
3.6363636363636362,2.380000000000002,4.900000000000011,0.0,2.085714285714281,True
3.686868686868687,2.1350000000000016,4.900000000000011,0.0,2.1357142857142803,True
3.7373737373737375,1.890000000000001,4.900000000000011,0.0,inf,True
3.7878787878787876,1.6450000000000005,4.900000000000011,0.0,inf,True
3.8383838383838382,1.4,4.900000000000011,0.0,inf,True
3.888888888888889,1.1549999999999994,4.900000000000011,0.0,inf,True
3.9393939393939394,0.9099999999999988,4.900000000000011,0.0,inf,True
3.9898989898989896,0.6649999999999983,4.900000000000011,0.0,inf,True
4.040404040404041,0.4199999999999977,4.900000000000011,0.0,inf,True
4.090909090909091,0.17499999999999716,4.900000000000011,0.0,inf,True
